Badge,bp-Homecard__Price--value,bp-Homecard__Price--label,bp-Homecard__Stats--beds,bp-Homecard__Stats--baths,bp-Homecard__LockedStat--value,bp-Homecard__Address,bp-Homecard__Address href,bp-Homecard__Content
"SOLD OCT 20, 2025","$300,000",Last sold price,2 beds,2 baths,"1,263","6670 Villa Sonrisa Dr #221, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6670-Villa-Sonrisa-Dr-33433/unit-221/home/42259059,"{""@context"":""http://schema.org"",""name"":""6670 Villa Sonrisa Dr #221, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6670-Villa-Sonrisa-Dr-33433/unit-221/home/42259059"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6670 Villa Sonrisa Dr #221"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3363497,""longitude"":-80.1508219},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1263,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 15, 2025","$314,000",Last sold price,2 beds,2 baths,"1,319","6690 Montego Bay Blvd Unit F, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-F/home/42260521,"{""@context"":""http://schema.org"",""name"":""6690 Montego Bay Blvd Unit F, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6690-Montego-Bay-Blvd-33433/unit-F/home/42260521"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6690 Montego Bay Blvd Unit F"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3377032,""longitude"":-80.1498785},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1319,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD JAN 16, 2026","$410,000",Last sold price,3 beds,2 baths,"2,186","6730 Montego Bay Blvd Unit D, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6730-Montego-Bay-Blvd-33433/unit-D/home/42261030,"{""@context"":""http://schema.org"",""name"":""6730 Montego Bay Blvd Unit D, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6730-Montego-Bay-Blvd-33433/unit-D/home/42261030"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6730 Montego Bay Blvd Unit D"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3376654,""longitude"":-80.1513823},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2186,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 15, 2025","$435,000",Last sold price,3 beds,2 baths,"1,295","6630 Villa Sonrisa Dr #710, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-710/home/42261087,"{""@context"":""http://schema.org"",""name"":""6630 Villa Sonrisa Dr #710, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6630-Villa-Sonrisa-Dr-33433/unit-710/home/42261087"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6630 Villa Sonrisa Dr #710"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3358652,""longitude"":-80.1498027},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1295,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD MAR 24, 2026","$380,000",Last sold price,3 beds,3 baths,"1,699","6780 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6780-Via-Regina-33433/home/42272951,"{""@context"":""http://schema.org"",""name"":""6780 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6780-Via-Regina-33433/home/42272951"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6780 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1699,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD AUG 19, 2025","$295,000",Last sold price,2 beds,2.5 baths,"1,156","6493 Via Regina, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6493-Via-Regina-33433/unit-4/home/42274769,"{""@context"":""http://schema.org"",""name"":""6493 Via Regina, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6493-Via-Regina-33433/unit-4/home/42274769"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6493 Via Regina"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146703},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1156,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD MAR 27, 2026","$290,000",Last sold price,2 beds,2.5 baths,"1,156","6621 Via Regina #6621, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/6621-Via-Regina-33433/home/42280900,"{""@context"":""http://schema.org"",""name"":""6621 Via Regina #6621, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/6621-Via-Regina-33433/home/42280900"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""6621 Via Regina #6621"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.33435,""longitude"":-80.146706},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1156,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"BOUGHT WITH REDFIN MAR 3, 2026","$425,000",Last sold price,3 beds,2 baths,"1,808","22715 Camino Del Mar #61, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-61/home/42547968,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #61, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-61/home/42547968"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #61"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1808,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD APR 10, 2026","$420,000",Last sold price,2 beds,2 baths,"1,808","22715 Camino Del Mar #21, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-21/home/42548466,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #21, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-21/home/42548466"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #21"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1808,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"SOLD FEB 17, 2026","$444,500",Last sold price,3 beds,2 baths,"1,609","22715 Camino Del Mar #42, Boca Raton, FL 33433",https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-42/home/42549456,"{""@context"":""http://schema.org"",""name"":""22715 Camino Del Mar #42, Boca Raton, FL 33433"",""url"":""https://www.redfin.com/FL/Boca-Raton/22715-Camino-del-Mar-33433/unit-42/home/42549456"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""22715 Camino Del Mar #42"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33433"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":26.3392477,""longitude"":-80.1383597},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1609,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
